method,group_type,group_value,n_queries,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard,retrieved_size,candidate_size
oracle_compose_exact_not_L250,gold_size_bin,03-05,138,0.3079710144927536,0.38949275362318847,0.8119565217391305,0.8119565217391305,0.29593910258291356,0.3344791826635065,0.4471100367562538,0.025187062837144083,0.8963768115942029,0.026420123336602073,0.01395497535597418,89.8695652173913,350.1376811594203
oracle_compose_exact_not_L250,gold_size_bin,06-20,159,0.06384996031222447,0.10053759133947812,0.2913132726811972,0.2913132726811972,0.11839502829035307,0.11132576013457468,0.16875993235247252,0.1710788933337354,0.49886044249251804,0.06409965946489185,0.03786303511117709,48.069182389937104,210.96226415094338
oracle_compose_exact_not_L250,gold_size_bin,101-200,148,0.02418980255401685,0.05428962954970406,0.05487039570392179,0.07614864864864865,0.7038147497060715,0.4699459140937196,0.15893442099932933,0.8448198198198198,0.05487039570392179,0.10013441901890223,0.05485562378688915,7.668918918918919,7.668918918918919
oracle_compose_exact_not_L250,gold_size_bin,51-100,32,0.03061397529175713,0.04556152735616302,0.04556152735616302,0.04556152735616302,0.6610411460807639,0.3441249493709792,0.11731852694059472,0.875,0.04556152735616302,0.08460658890340109,0.04556152735616302,4.46875,4.46875
oracle_compose_exact_not_L50,overall,all,700,0.3806401365463196,0.3943962640839254,0.5780629307505921,0.5788787599904329,0.45819589729987165,0.4183694148736325,0.45231714975769444,0.16341300954423685,0.5780629307505921,0.07193292033350689,0.045219031011687304,37.78857142857143,39.13285714285714
oracle_compose_exact_not_L50,template,_,100,0.92,0.935,0.94,0.94,0.9168978648383113,0.9218966148075833,0.9231587588822111,0.037599999999999995,0.94,0.07230769230769228,0.03757647058823529,50.0,50.0
oracle_compose_exact_not_L50,template,_ or _,100,0.45,0.475,0.955,0.955,0.4491842383682787,0.46084596512044657,0.5928088827545999,0.05473346161662791,0.955,0.1030326325911205,0.054696010835570366,76.97,76.97
oracle_compose_exact_not_L50,template,_ or _ or _,100,0.142,0.16799999999999998,0.9586666666666668,0.9586666666666668,0.17505326514427655,0.17854180726346733,0.4274879611135598,0.07003486325243109,0.9586666666666668,0.1294027939336804,0.06996414512992817,82.31,91.72
oracle_compose_exact_not_L50,template,_ that are also _,100,0.19731022902023276,0.19746127781184244,0.19746127781184244,0.20051145409808022,0.429925689362847,0.2914926124453012,0.22416278583462548,0.4617073739752311,0.19746127781184244,0.12120786831004476,0.10916865178707358,4.99,4.99
oracle_compose_exact_not_L50,template,_ that are also _ but not _,100,0.009229487487765241,0.009371331459396446,0.009371331459396446,0.012031959852044536,0.28221235047436166,0.1191697443772318,0.04015207364966703,0.44,0.009371331459396446,0.018223751698491556,0.009371331459396446,1.2,1.2
oracle_compose_exact_not_L50,template,_ that are also both _ and _,100,0.01594123931623932,0.01594123931623932,0.01594123931623932,0.01594123931623932,0.029097872911026078,0.022260529737028075,0.022260529737028075,0.06,0.01594123931623932,0.020518461930226634,0.01594123931623932,0.07,0.07
oracle_compose_exact_not_L50,template,_ that are not _,100,0.93,0.96,0.97,0.97,0.925,0.9343786303643695,0.93618905633217,0.019815367965367963,0.97,0.03883724156329197,0.019815367965367963,48.98,48.98
oracle_compose_exact_not_L50,gold_size_bin,01-02,223,0.9192825112107623,0.9394618834080718,0.9461883408071748,0.9461883408071748,0.9156492667436374,0.9220965224986335,0.9234743565983771,0.0758397945921969,0.9461883408071748,0.10216197895888761,0.07582924328647282,46.15695067264574,46.15695067264574
oracle_compose_exact_not_L50,gold_size_bin,03-05,138,0.363768115942029,0.38623188405797104,0.860144927536232,0.860144927536232,0.37217726948286234,0.3830977804396841,0.516701450473079,0.050254938570849526,0.860144927536232,0.09444000378986345,0.0502196683684692,70.14492753623189,71.71014492753623
oracle_compose_exact_not_L50,gold_size_bin,06-20,159,0.060340402085685106,0.07291901843788637,0.46075968929742517,0.46075968929742517,0.08159166323096308,0.07734173906552058,0.20094929053606214,0.0662996915982935,0.46075968929742517,0.07083439196541887,0.038552360335377595,39.333333333333336,43.893081761006286
oracle_compose_exact_not_L50,gold_size_bin,101-200,148,0.009727231458022468,0.00992513197372576,0.00992513197372576,0.013783783783783784,0.31576614599181935,0.13358812331713518,0.04491671159248899,0.46621621621621623,0.00992513197372576,0.019322739030042887,0.00992513197372576,1.3783783783783783,1.3783783783783783
oracle_compose_exact_not_L50,gold_size_bin,51-100,32,0.006698168594139917,0.006698168594139917,0.006698168594139917,0.006698168594139917,0.1712629492791125,0.07172479472866553,0.024494144773152496,0.34375,0.006698168594139917,0.012992771989805457,0.006698168594139917,0.65625,0.65625
oracle_compose_exact_not_L500,overall,all,700,0.3831844320392468,0.43616095193196674,0.5739774052162747,0.5843702781119038,0.6302811393206965,0.5924510465526182,0.506287213007417,0.33828534103630276,0.6458583575972271,0.093370232966347,0.056289172770693785,63.08428571428571,384.3342857142857
oracle_compose_exact_not_L500,template,_,100,0.92,0.935,0.95,0.95,0.9168978648383113,0.9218966148075833,0.92513871224245,0.003940000000000002,0.985,0.00784860557768924,0.00393996007984032,100.0,500.0
oracle_compose_exact_not_L500,template,_ or _,100,0.3625,0.475,0.955,0.955,0.32135720859285244,0.37342470667866684,0.498916409991389,0.005887384530658438,0.9975,0.011698416283826818,0.005887354319543165,100.0,746.21
oracle_compose_exact_not_L500,template,_ or _ or _,100,0.081,0.16366666666666668,0.5876666666666667,0.5876666666666667,0.10166166309154036,0.1400129552743221,0.26676057710784806,0.007694807351590271,0.9933333333333334,0.015252459795041166,0.007694632334551405,100.0,872.34
oracle_compose_exact_not_L500,template,_ that are also _,100,0.2173513723887094,0.27485216785723493,0.29206052832762186,0.32846164068455175,0.9319510549319169,0.8078098196683763,0.42269540426587754,0.8020048259944825,0.29206052832762186,0.2013764776151543,0.12113504749018515,23.79,55.56
