method,group_type,group_value,n_queries,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard,retrieved_size,candidate_size
oracle_compose_truncated_not_L500,template,_ that are not _,100,0.89,0.92,0.93,0.93,0.8776185950714291,0.8869972254357986,0.8887877477533092,0.047472271426690006,0.95,0.054113330809405065,0.047472271426690006,86.83,332.91
oracle_compose_truncated_not_L500,gold_size_bin,01-02,223,0.9035874439461884,0.9237668161434978,0.9327354260089686,0.9327354260089686,0.8971515389405358,0.9035824128740677,0.9053766647919063,0.03614213751801354,0.9551569506726457,0.042734916801450314,0.033899967150228937,88.3542600896861,389.9775784753363
oracle_compose_truncated_not_L500,gold_size_bin,03-05,138,0.30169082125603863,0.3904589371980677,0.8158212560386473,0.8158212560386473,0.28275309615673133,0.32405524117844076,0.43778505806296014,0.026706725037568886,0.903864734299517,0.020538442970836113,0.012093176531403812,89.8840579710145,727.7608695652174
oracle_compose_truncated_not_L500,gold_size_bin,06-20,159,0.09638535201798243,0.1372658551626365,0.3301379725630558,0.3301379725630558,0.1993461545107598,0.1685873711007812,0.22638821731675718,0.3430009731116047,0.5408297964624268,0.11430245758939583,0.07146168854262683,48.39622641509434,450.188679245283
oracle_compose_truncated_not_L500,gold_size_bin,101-200,148,0.03261944639088799,0.10236127486253224,0.12311580997689738,0.17101351351351352,0.9161996830409851,0.7660450036599304,0.2874151153334756,0.9664117125015295,0.12311580997689738,0.2115841520724153,0.1229587830408208,17.2972972972973,17.2972972972973
oracle_compose_truncated_not_L500,gold_size_bin,51-100,32,0.04868425277753467,0.12636690483565433,0.12828687776078188,0.12828687776078188,0.9494864489803543,0.709906385159292,0.24446322103197543,0.9625,0.12828687776078188,0.22222725212345334,0.1282745015231581,12.59375,12.59375
oracle_full_verify_F1000,overall,all,700,0.6806255631141324,0.776951743674928,0.9274954079426914,0.9838810520521861,0.9923381177696183,0.9914261260246953,0.9858516163856,0.9928571428571429,0.9811663805556483,0.9844857386885305,0.9811663805556483,27.532857142857143,35.27571428571429
oracle_full_verify_F1000,template,_,100,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.98,1.98
oracle_full_verify_F1000,template,_ or _,100,0.995,0.995,0.995,0.995,0.9963668243873284,0.9963668243873284,0.9963668243873284,1.0,0.995,0.9966666666666666,0.995,3.93,3.93
oracle_full_verify_F1000,template,_ or _ or _,100,0.8733333333333332,0.9983333333333333,0.9983333333333333,0.9983333333333333,1.0,0.9989221084547549,0.9989221084547549,1.0,0.9983333333333333,0.999090909090909,0.9983333333333333,5.74,5.74
oracle_full_verify_F1000,template,_ that are also _,100,0.2300283319159232,0.32011332766369277,0.7981753459189257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.97,109.46
oracle_full_verify_F1000,template,_ that are also _ but not _,100,0.03912206800004923,0.15521554472746962,0.7309591763465809,0.9238340310319693,0.98,0.9746939493307846,0.9356723818571169,0.98,0.9048313305562045,0.9256425950621374,0.9048313305562045,91.94,116.65
oracle_full_verify_F1000,template,_ that are also both _ and _,100,0.6568952085496204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.19,8.19
oracle_full_verify_F1000,template,_ that are not _,100,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
